Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
1,多頭出場,2022-06-01 09:50,EXIT_TIME|XRD=-0.1218|BH=2,32.45,1,32.45,0,0.00,0,0.00,-0.05,-0.15,0,0.00
1,多頭進場,2022-06-01 09:40,ENTRY|RD=-0.2445|VR=2.1142|S1=-0.0724|S3=-0.1382|E5=0.1931|E15=0.1157|T5=0.2648|T15=0.2533|RV10=0.1297|MSO=35|MTC=235|SID=2|SCT=1|HP=0,32.45,1,32.45,0,0.00,0,0.00,-0.05,-0.15,0,0.00
2,多頭出場,2022-06-01 10:35,EXIT_TIME|XRD=-0.1656|BH=2,32.5,1,32.5,0,0.00,0,0.00,-0.05,-0.15,0,0.00
2,多頭進場,2022-06-01 10:25,ENTRY|RD=-0.2473|VR=2.2161|S1=-0.0665|S3=-0.2773|E5=0.0385|E15=0|T5=0.1044|T15=0.2758|RV10=0.0845|MSO=80|MTC=190|SID=4|SCT=2|HP=0,32.5,1,32.5,0,0.00,0,0.00,-0.05,-0.15,0,0.00
3,多頭出場,2022-06-14 12:15,EXIT_TIME|XRD=-0.1405|BH=2,30.85,1,30.75,0.1,0.33,0.1,0.33,0,0.00,0.1,0.00
3,多頭進場,2022-06-14 12:05,ENTRY|RD=-0.2884|VR=2.0584|S1=-0.001|S3=-0.1371|E5=0.2445|E15=0.3672|T5=0.2448|T15=0.5038|RV10=0.0824|MSO=180|MTC=90|SID=4|SCT=1|HP=0,30.75,1,30.75,0.1,0.33,0.1,0.33,0,0.00,0.1,0.00
4,多頭出場,2022-06-17 13:10,EXIT_TIME|XRD=-0.2182|BH=2,30.2,1,30.2,0,0.00,0.05,0.17,-0.05,-0.17,0.1,0.00
4,多頭進場,2022-06-17 13:00,ENTRY|RD=-0.2437|VR=1.6271|S1=-0.1682|S3=-0.181|E5=-0.0827|E15=-0.1654|T5=0.0857|T15=0.0157|RV10=0.1146|MSO=235|MTC=35|SID=5|SCT=1|HP=1,30.2,1,30.2,0,0.00,0.05,0.17,-0.05,-0.17,0.1,0.00
5,多頭出場,2022-06-22 11:00,EXIT_TIME|XRD=-0.1744|BH=2,29.9,1,30,-0.1,-0.33,0,0.00,-0.1,-0.33,0,0.00
5,多頭進場,2022-06-22 10:50,ENTRY|RD=-0.2228|VR=1.9967|S1=-0.1052|S3=-0.0387|E5=-0.1248|E15=-0.2908|T5=-0.0186|T15=-0.2513|RV10=0.0834|MSO=105|MTC=165|SID=4|SCT=1|HP=0,30,1,30,-0.1,-0.33,0,0.00,-0.1,-0.33,0,0.00
6,多頭出場,2022-06-22 11:50,EXIT_TIME|XRD=-0.1363|BH=2,29.9,1,29.9,0,0.00,0,0.00,0,0.00,0,0.00
6,多頭進場,2022-06-22 11:40,ENTRY|RD=-0.2105|VR=2.0714|S1=-0.0205|S3=-0.0025|E5=-0.1253|E15=-0.1253|T5=-0.1043|T15=-0.1225|RV10=0.1002|MSO=155|MTC=115|SID=4|SCT=2|HP=0,29.9,1,29.9,0,0.00,0,0.00,0,0.00,0,0.00
7,多頭出場,2022-07-01 11:55,EXIT_TIME|XRD=-0.1578|BH=2,28,1,28,0,0.00,0,0.00,-0.05,-0.18,0,0.00
