Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
1,多頭出場,2022-06-01 09:50,Close entry(s) order Long 0050,32.45,1,32.45,0,0.00,0,0.00,-0.05,-0.15,0,0.00
1,多頭進場,2022-06-01 09:40,Long 0050,32.45,1,32.45,0,0.00,0,0.00,-0.05,-0.15,0,0.00
2,多頭出場,2022-06-01 10:35,Close entry(s) order Long 0050,32.5,1,32.5,0,0.00,0,0.00,-0.05,-0.15,0,0.00
2,多頭進場,2022-06-01 10:25,Long 0050,32.5,1,32.5,0,0.00,0,0.00,-0.05,-0.15,0,0.00
3,多頭出場,2022-06-14 12:15,Close entry(s) order Long 0050,30.85,1,30.75,0.1,0.33,0.1,0.33,0,0.00,0.1,0.00
3,多頭進場,2022-06-14 12:05,Long 0050,30.75,1,30.75,0.1,0.33,0.1,0.33,0,0.00,0.1,0.00
4,多頭出場,2022-06-17 13:10,Close entry(s) order Long 0050,30.2,1,30.2,0,0.00,0.05,0.17,-0.05,-0.17,0.1,0.00
4,多頭進場,2022-06-17 13:00,Long 0050,30.2,1,30.2,0,0.00,0.05,0.17,-0.05,-0.17,0.1,0.00
5,多頭出場,2022-06-22 11:00,Close entry(s) order Long 0050,29.9,1,30,-0.1,-0.33,0,0.00,-0.1,-0.33,0,0.00
5,多頭進場,2022-06-22 10:50,Long 0050,30,1,30,-0.1,-0.33,0,0.00,-0.1,-0.33,0,0.00
6,多頭出場,2022-06-22 11:50,Close entry(s) order Long 0050,29.9,1,29.9,0,0.00,0,0.00,0,0.00,0,0.00
6,多頭進場,2022-06-22 11:40,Long 0050,29.9,1,29.9,0,0.00,0,0.00,0,0.00,0,0.00
7,多頭出場,2022-07-01 11:55,Close entry(s) order Long 0050,28,1,28,0,0.00,0,0.00,-0.05,-0.18,0,0.00
7,多頭進場,2022-07-01 11:45,Long 0050,28,1,28,0,0.00,0,0.00,-0.05,-0.18,0,0.00
8,多頭出場,2022-07-01 12:15,Close entry(s) order Long 0050,28,1,28.1,-0.1,-0.36,0,0.00,-0.1,-0.36,-0.1,0.00
8,多頭進場,2022-07-01 12:05,Long 0050,28.1,1,28.1,-0.1,-0.36,0,0.00,-0.1,-0.36,-0.1,0.00
9,多頭出場,2022-07-04 11:00,Close entry(s) order Long 0050,27.75,1,27.65,0.1,0.36,0.1,0.36,0,0.00,0,0.00
9,多頭進場,2022-07-04 10:50,Long 0050,27.65,1,27.65,0.1,0.36,0.1,0.36,0,0.00,0,0.00
10,多頭出場,2022-07-04 12:50,Close entry(s) order Long 0050,27.5,1,27.5,0,0.00,0.05,0.18,0,0.00,0,0.00
10,多頭進場,2022-07-04 12:40,Long 0050,27.5,1,27.5,0,0.00,0.05,0.18,0,0.00,0,0.00
11,多頭出場,2022-07-05 09:40,Close entry(s) order Long 0050,27.85,1,27.85,0,0.00,0.05,0.18,-0.05,-0.18,0,0.00
11,多頭進場,2022-07-05 09:30,Long 0050,27.85,1,27.85,0,0.00,0.05,0.18,-0.05,-0.18,0,0.00
