version,trade_number,entry_datetime,exit_datetime,entry_date,entry_year,entry_month,entry_time_hhmm,exit_time_hhmm,entry_price,exit_price,base_pnl_twd,pnl_cost_001,pnl_cost_002,pnl_cost_0035,holding_minutes,holding_bucket,exit_reason,mfe_twd,mae_twd,mode,entry_relative_deviation,volume_ratio_at_entry,deviation_slope_1bar,deviation_slope_3bar,etf_return_5m,etf_return_15m,tw50_return_5m,tw50_return_15m,realized_vol_10bar,minutes_since_open,minutes_to_close,session_id,signal_count_today,t5_filter_ok,b1_filter_ok,b2_filter_ok,b3_filter_ok,exit_relative_deviation,bars_held,session_block,data_split,is_0945_1000_bucket,is_exact_0945,is_exact_1000,entry_signal,exit_signal,realized_vol_bucket
v2-B3_final_candidate,1,2022-06-01 09:40,2022-06-01 09:50,2022-06-01,2022,2022-06,09:40,09:50,32.45,32.45,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0,-0.05,3,-0.2445,2.1142,-0.0724,-0.1382,0.1931,0.1157,0.2648,0.2533,0.1297,35,235,2,1,1,1,1,1,-0.1218,2,早盤_0905_0945,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2445|VR=2.1142|S1=-0.0724|S3=-0.1382|E5=0.1931|E15=0.1157|T5=0.2648|T15=0.2533|RV10=0.1297|MSO=35|MTC=235|SID=2|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1218|BH=2,High_vol
v2-B3_final_candidate,2,2022-06-01 10:25,2022-06-01 10:35,2022-06-01,2022,2022-06,10:25,10:35,32.5,32.5,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0,-0.05,3,-0.2473,2.2161,-0.0665,-0.2773,0.0385,0,0.1044,0.2758,0.0845,80,190,4,2,1,1,1,1,-0.1656,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2473|VR=2.2161|S1=-0.0665|S3=-0.2773|E5=0.0385|E15=0|T5=0.1044|T15=0.2758|RV10=0.0845|MSO=80|MTC=190|SID=4|SCT=2|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1656|BH=2,Mid_vol
v2-B3_final_candidate,3,2022-06-14 12:05,2022-06-14 12:15,2022-06-14,2022,2022-06,12:05,12:15,30.75,30.85,0.1,0.09,0.08,0.065,10,5-10m,EXIT_TIME,0.1,0,3,-0.2884,2.0584,-0.001,-0.1371,0.2445,0.3672,0.2448,0.5038,0.0824,180,90,4,1,1,1,1,1,-0.1405,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2884|VR=2.0584|S1=-0.001|S3=-0.1371|E5=0.2445|E15=0.3672|T5=0.2448|T15=0.5038|RV10=0.0824|MSO=180|MTC=90|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1405|BH=2,Mid_vol
v2-B3_final_candidate,4,2022-06-17 13:00,2022-06-17 13:10,2022-06-17,2022,2022-06,13:00,13:10,30.2,30.2,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0.05,-0.05,3,-0.2437,1.6271,-0.1682,-0.181,-0.0827,-0.1654,0.0857,0.0157,0.1146,235,35,5,1,1,1,1,1,-0.2182,2,午盤尾段_1245_1300,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2437|VR=1.6271|S1=-0.1682|S3=-0.181|E5=-0.0827|E15=-0.1654|T5=0.0857|T15=0.0157|RV10=0.1146|MSO=235|MTC=35|SID=5|SCT=1|HP=1|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.2182|BH=2,Mid_vol
v2-B3_final_candidate,5,2022-07-05 12:55,2022-07-05 13:05,2022-07-05,2022,2022-07,12:55,13:05,27.6,27.7,0.1,0.09,0.08,0.065,10,5-10m,EXIT_TIME,0.1,0,3,-0.2748,1.7694,-0.107,-0.1066,0,-0.2712,0.1088,-0.1627,0.2146,230,40,5,1,1,1,1,1,-0.2734,2,午盤尾段_1245_1300,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2748|VR=1.7694|S1=-0.107|S3=-0.1066|E5=0|E15=-0.2712|T5=0.1088|T15=-0.1627|RV10=0.2146|MSO=230|MTC=40|SID=5|SCT=1|HP=1|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.2734|BH=2,High_vol
v2-B3_final_candidate,6,2022-07-11 11:00,2022-07-11 11:05,2022-07-11,2022,2022-07,11:00,11:05,28,28.05,0.05,0.04,0.03,0.015,5,<=5m,EXIT_REVERSION,0.05,0,3,-0.2141,1.8532,-0.2388,-0.1561,-0.0892,-0.2671,0.1523,-0.1096,0.1274,115,155,4,1,1,1,1,1,-0.0841,1,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2141|VR=1.8532|S1=-0.2388|S3=-0.1561|E5=-0.0892|E15=-0.2671|T5=0.1523|T15=-0.1096|RV10=0.1274|MSO=115|MTC=155|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_REVERSION|MODE=3|XRD=-0.0841|BH=1,High_vol
v2-B3_final_candidate,7,2022-08-04 11:50,2022-08-04 12:00,2022-08-04,2022,2022-08,11:50,12:00,28.9,28.9,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_REVERSION,0,-0.05,3,-0.2111,2.7875,-0.06,-0.1106,0.0433,-0.302,0.1035,-0.1909,0.0979,165,105,4,1,1,1,1,1,-0.0803,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2111|VR=2.7875|S1=-0.06|S3=-0.1106|E5=0.0433|E15=-0.302|T5=0.1035|T15=-0.1909|RV10=0.0979|MSO=165|MTC=105|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_REVERSION|MODE=3|XRD=-0.0803|BH=2,Mid_vol
v2-B3_final_candidate,8,2022-08-17 12:40,2022-08-17 12:50,2022-08-17,2022,2022-08,12:40,12:50,30.45,30.5,0.05,0.04,0.03,0.015,10,5-10m,EXIT_TIME,0.05,0,3,-0.2003,4.1582,-0.1772,-0.2512,-0.123,-0.2864,0.0542,-0.0358,0.0641,215,55,4,1,1,1,1,1,-0.1404,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2003|VR=4.1582|S1=-0.1772|S3=-0.2512|E5=-0.123|E15=-0.2864|T5=0.0542|T15=-0.0358|RV10=0.0641|MSO=215|MTC=55|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1404|BH=2,Low_vol
v2-B3_final_candidate,9,2022-08-24 12:15,2022-08-24 12:25,2022-08-24,2022,2022-08,12:15,12:25,29.45,29.45,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0.05,-0.05,3,-0.284,2.1552,-0.1781,-0.1942,-0.0849,-0.2542,0.0948,-0.0585,0.0893,190,80,4,1,1,1,1,1,-0.1499,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.284|VR=2.1552|S1=-0.1781|S3=-0.1942|E5=-0.0849|E15=-0.2542|T5=0.0948|T15=-0.0585|RV10=0.0893|MSO=190|MTC=80|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1499|BH=2,Mid_vol
v2-B3_final_candidate,10,2022-11-29 12:15,2022-11-29 12:25,2022-11-29,2022,2022-11,12:15,12:25,28.75,28.8,0.05,0.04,0.03,0.015,10,5-10m,EXIT_TIME,0.05,0,3,-0.3042,1.7587,-0.0247,0.0001,0.0435,0.0435,0.0677,0.0433,0.0828,190,80,4,1,1,1,1,1,-0.2246,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.3042|VR=1.7587|S1=-0.0247|S3=0.0001|E5=0.0435|E15=0.0435|T5=0.0677|T15=0.0433|RV10=0.0828|MSO=190|MTC=80|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.2246|BH=2,Mid_vol
v2-B3_final_candidate,11,2022-11-29 12:55,2022-11-29 13:05,2022-11-29,2022,2022-11,12:55,13:05,28.75,28.8,0.05,0.04,0.03,0.015,10,5-10m,EXIT_TIME,0.05,0,3,-0.2753,1.77,-0.0823,-0.0826,-0.0435,0,0.0376,0.0812,0.0437,230,40,5,2,1,1,1,1,-0.3362,2,午盤尾段_1245_1300,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2753|VR=1.77|S1=-0.0823|S3=-0.0826|E5=-0.0435|E15=0|T5=0.0376|T15=0.0812|RV10=0.0437|MSO=230|MTC=40|SID=5|SCT=2|HP=1|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.3362|BH=2,Low_vol
v2-B3_final_candidate,12,2022-12-21 12:40,2022-12-21 12:50,2022-12-21,2022,2022-12,12:40,12:50,27.6,27.6,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0.05,0,3,-0.2251,7.9714,-0.0267,-0.0097,0.0453,-0.1357,0.072,-0.1257,0.0819,215,55,4,1,1,1,1,1,-0.31,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2251|VR=7.9714|S1=-0.0267|S3=-0.0097|E5=0.0453|E15=-0.1357|T5=0.072|T15=-0.1257|RV10=0.0819|MSO=215|MTC=55|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.31|BH=2,Mid_vol
v2-B3_final_candidate,13,2022-12-21 13:00,2022-12-21 13:10,2022-12-21,2022,2022-12,13:00,13:10,27.65,27.65,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0,-0.05,3,-0.3068,2.9986,-0.023,-0.014,0,0.1359,0.0231,0.1496,0.0991,235,35,5,2,1,1,1,1,-0.1061,2,午盤尾段_1245_1300,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.3068|VR=2.9986|S1=-0.023|S3=-0.014|E5=0|E15=0.1359|T5=0.0231|T15=0.1496|RV10=0.0991|MSO=235|MTC=35|SID=5|SCT=2|HP=1|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1061|BH=2,Mid_vol
v2-B3_final_candidate,14,2023-01-13 12:00,2023-01-13 12:10,2023-01-13,2023,2023-01,12:00,12:10,29.3,29.3,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0,0,3,-0.2173,1.9269,-0.0152,0.0057,0.0854,0.1282,0.1006,0.1221,0.0555,175,95,4,1,1,1,1,1,-0.2028,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2173|VR=1.9269|S1=-0.0152|S3=0.0057|E5=0.0854|E15=0.1282|T5=0.1006|T15=0.1221|RV10=0.0555|MSO=175|MTC=95|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.2028|BH=2,Low_vol
v2-B3_final_candidate,15,2023-01-13 13:00,2023-01-13 13:10,2023-01-13,2023,2023-01,13:00,13:10,29.3,29.3,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0.05,0,3,-0.2141,1.687,-0.0412,-0.0792,0.0427,0.0427,0.0841,0.1225,0.0469,235,35,5,2,1,1,1,1,-0.1749,2,午盤尾段_1245_1300,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2141|VR=1.687|S1=-0.0412|S3=-0.0792|E5=0.0427|E15=0.0427|T5=0.0841|T15=0.1225|RV10=0.0469|MSO=235|MTC=35|SID=5|SCT=2|HP=1|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1749|BH=2,Low_vol
v2-B3_final_candidate,16,2023-02-10 12:20,2023-02-10 12:30,2023-02-10,2023,2023-02,12:20,12:30,30.25,30.25,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0,0,3,-0.2303,1.8893,-0.0134,0.0791,0.0827,0.0827,0.0959,0.0035,0.0455,195,75,4,1,1,1,1,1,-0.1514,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2303|VR=1.8893|S1=-0.0134|S3=0.0791|E5=0.0827|E15=0.0827|T5=0.0959|T15=0.0035|RV10=0.0455|MSO=195|MTC=75|SID=4|SCT=1|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.1514|BH=2,Low_vol
v2-B3_final_candidate,17,2023-02-10 12:35,2023-02-10 12:45,2023-02-10,2023,2023-02,12:35,12:45,30.25,30.25,0,-0.01,-0.02,-0.035,10,5-10m,EXIT_TIME,0,0,3,-0.2508,8.3655,-0.0994,-0.0205,0,0,0.0992,0.0205,0.0415,210,60,4,2,1,1,1,1,-0.3122,2,盤中_1000_1245,Train_2022_2024,0,0,0,ENTRY|MODE=3|RD=-0.2508|VR=8.3655|S1=-0.0994|S3=-0.0205|E5=0|E15=0|T5=0.0992|T15=0.0205|RV10=0.0415|MSO=210|MTC=60|SID=4|SCT=2|HP=0|T5OK=1|B1OK=1|B2OK=1|B3OK=1,EXIT_TIME|MODE=3|XRD=-0.3122|BH=2,Low_vol
